Name,Region
Massachusetts,Northeast
Rhode Island,Northeast
Connecticut,Northeast
Vermont,Northeast
New Hampshire,Northeast
Maine,Northeast
Pennsylvania,Northeast
New Jersey,Northeast
New York,Northeast
Washington DC ( federal district),Southeast
Georgia,Southeast
North Carolina,Southeast
South Carolina,Southeast
Virginia,Southeast
West Virginia,Southeast
Kentucky,Southeast
Tennessee,Southeast
Mississippi,Southeast
Alabama,Southeast
Delaware,Southeast
Maryland,Southeast
Florida,Southeast
Louisiana,Southeast
Arkansas,Southeast
Minnesota,Midwest
Wisconsin,Midwest
Illinois,Midwest
Ohio,Midwest
Indiana,Midwest
Michigan,Midwest
Missouri,Midwest
Iowa,Midwest
Kansas,Midwest
Nebraska,Midwest
North Dakota,Midwest
South Dakota,Midwest
New Mexico,Southwest
Arizona,Southwest
Oklahoma,Southwest
Texas,Southwest
California,West
Colorado,West
Nevada,West
Hawaii,West
Alaska,West
Oregon,West
Utah,West
Idaho,West
Montana,West
Wyoming,West
Washington,West
U.S. Virgin Islands,Noncontinental
Puerto Rico,Noncontinental
,
